ax,ay,az,gx,gy,gz,name,n,initial_row_angle
14997,-9137,-3128,739,-4170,-14090,X,3,-1.700984239578247
8720,-8447,-2580,751,-2993,-15169,X,3,-1.700984239578247
4298,-7794,-2722,958,-2529,-15310,X,3,-1.700984239578247
1037,-6852,-2676,1170,-1574,-14957,X,3,-1.700984239578247
-2730,-6154,-3076,1138,-2216,-14263,X,3,-1.700984239578247
-7881,-5598,-3183,642,-2756,-13134,X,3,-1.700984239578247
-14050,-4148,-1704,-47,-2652,-11438,X,3,-1.700984239578247
-17181,-2426,512,-296,-2310,-8788,X,3,-1.700984239578247
-15858,-1116,666,255,-1926,-5692,X,3,-1.700984239578247
-13558,-611,-705,925,-855,-3095,X,3,-1.700984239578247
-12091,-472,-1962,1066,333,-1232,X,3,-1.700984239578247
-12320,-591,-2301,743,1136,156,X,3,-1.700984239578247
-13071,-1140,-1162,393,1490,1494,X,3,-1.700984239578247
-12707,-1929,358,398,1292,2980,X,3,-1.700984239578247
-11873,-2952,853,890,834,4483,X,3,-1.700984239578247
-11649,-4128,-257,1668,750,5992,X,3,-1.700984239578247
-10903,-5490,-2421,2226,1391,7723,X,3,-1.700984239578247
-9251,-7181,-3443,2068,2909,9670,X,3,-1.700984239578247
-7647,-9225,-2630,1351,4464,11462,X,3,-1.700984239578247
-6461,-11233,-1685,829,4557,12884,X,3,-1.700984239578247
-4167,-13962,-1947,878,3766,14352,X,3,-1.700984239578247
-410,-17463,-2904,1110,2785,16080,X,3,-1.700984239578247
6168,-21341,-3862,1177,2767,18045,X,3,-1.700984239578247
19785,-24547,-4721,745,4045,19587,X,3,-1.700984239578247
32655,-21252,-5960,-330,5836,18435,X,3,-1.700984239578247
32708,-14278,-734,-2015,7349,12489,X,3,-1.700984239578247
32708,-11572,5789,-2301,5948,4463,X,3,-1.700984239578247
27924,-9678,1960,-311,1991,-1031,X,3,-1.700984239578247
20634,-6666,-5474,1094,-408,-2656,X,3,-1.700984239578247
22220,-5016,-8789,616,686,-2565,X,3,-1.700984239578247
25077,-5412,-9939,-442,2753,-3212,X,3,-1.700984239578247
27457,-6654,-11738,-1448,3549,-4860,X,3,-1.700984239578247
